hours,population
13.0,20088.888888888887
14.0,20222.222222222223
15.0,20933.333333333332
16.0,21822.222222222223
17.0,21333.333333333332
18.0,18577.777777777777
19.0,14044.444444444443
20.0,9777.777777777777
21.0,7244.444444444444
22.0,5866.666666666666
23.0,5200.0
0.0,4933.333333333333
1.0,4977.777777777777
2.0,4977.777777777777
3.0,5377.777777777777
4.0,6666.666666666666
5.0,9955.555555555555
6.0,12977.777777777777
7.0,13822.222222222223
8.0,14266.666666666666
9.0,16844.444444444445
10.0,18755.555555555555
11.0,19422.222222222223
12.0,19155.555555555555
